Metric,Abbreviation,Definition,Target,Week 0 Baseline,Week 4 Target,Week 8 Target,Week 12 Target,Current Value,Status,Notes
Hook Share Rate,HSR,% of audience sharing content/offers,≥ 20%,0%,5%,12%,15%,0%,Not started,Track from LinkedIn launch post
Organic Spread Multiplier,OSM,Organic reach ÷ paid reach,≥ 2.5x,0x,1.5x,2.0x,2.0x,0x,Not started,No paid spend planned initially
Loop Retention Rate,LRR,% of loops active after 30 days,≥ 80%,0%,50%,70%,75%,0%,Not started,Loops activate Week 5 with cohort
Category Term Adoption Rate,CTAR,% of industry mentions using your terms,≥ 60%,0%,2%,5%,10%,0%,Not started,Long-term metric - 10% at 90 days is strong
Cultural Touchpoint Penetration,CTP,% of planned cultural integrations executed,≥ 75%,0%,25%,50%,50%,0%,Not started,Q4 calendar has 5 touchpoints planned
Email list size,ELS,Total email subscribers,N/A,0,100,300,500,0,Not started,Primary acquisition metric
Certified practitioners,CP,Graduated Category Architects,N/A,0,0,8,12,0,Not started,First cohort Weeks 5-8
Revenue,REV,Total revenue (USD),$72k-$144k,0,$24k pipeline,$72k,$72k-$144k,0,Not started,6-12 certs x $12k
Workshop attendees,WA,Live workshop participants,N/A,0,40,80,120,0,Not started,Free Week 2 + paid Week 4
Podcast appearances,PA,Podcast/media appearances,N/A,0,1,3,5,0,Not started,Pitch Week 3
